Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1915,3.86,2.89,1.14,0.81,1.99,4.16,3.05,5.47,3.26,2.21,1.66,2.37,32.87
1916,0.99,2.92,1.32,1.94,5.13,6.28,9.76,2.69,2.55,2.22,1.52,2.32,39.64
1917,2.69,1.66,4.97,3.1,2.21,5.17,2.97,3.53,1.96,2.24,0.25,1.7,32.45
1918,4.45,0.53,2.41,4.97,2.15,2.93,3.69,2.91,2.61,0.95,1.26,2.59,31.45
1919,4.13,2.23,3.02,2.18,3.64,7.61,5.21,3.03,0.47,2.65,2.48,1.96,38.61
1920,1.64,4.03,2.82,3.53,0.79,5.12,4.82,6.76,4.51,0.1,7.14,2.34,43.6
1921,2.69,2.6,1.75,2.76,6.15,1.85,3.56,0.83,1.71,2.45,1.65,1.01,29.01
1922,3.9,3.32,7.5,1.53,4.37,3.35,2.25,1.18,1.42,4.19,0.19,3.42,36.62
1923,2.25,2.38,5.91,2.7,1.66,1.62,2.52,3.44,2.84,1.5,1.98,2.72,31.52
1924,3.37,1.87,2.77,3.35,5.16,3.58,3.74,4.8,4.69,2.48,1.45,3.34,40.6
1925,3.4,1.04,1.06,2.61,1.34,2.77,3.56,0.56,0.43,4.08,2.68,2.86,26.39
1926,3.89,3.59,2.52,1.82,0.44,1.13,2.73,1.67,1.59,3.16,3.43,4.99,30.96
1927,1.09,3.14,1.29,3.99,1.42,1.87,5.9,4.27,0.31,6.51,1.91,3.88,35.58
1928,2.53,2.4,1.93,4.56,0.66,2.98,3.55,14.87,6.11,0.65,0.79,1.02,42.05
1929,2.38,2.75,3.22,5.76,3.06,5,2.21,3.99,2.2,5.31,2.82,1.87,40.57
1930,2.77,0.95,2.26,1.45,1.75,2.57,0.9,0.42,0.9,0.62,2.44,2.8,19.83
1931,1.48,1.81,3.75,3.11,5.93,2.43,5.37,5.16,0.73,0.67,0.45,2.74,33.63
1932,4.29,1.25,4.8,1.01,1.38,2.54,0.75,1.7,2.22,8.86,4.63,3.85,37.28
1933,2.73,2.17,2.72,4.41,4.26,2.61,4.3,3.5,0.35,1.45,1.25,3.86,33.61
1934,1.92,3.48,5.75,3.52,4.09,4.21,3.04,4.69,7.37,1.69,6.11,2.99,48.86
1935,5.27,3.18,5.7,4.78,3.26,8.53,6.76,3.8,7.53,2.18,5.05,2.6,58.64
1936,9.46,3.99,7.48,4.54,1.23,4.64,3.07,5.95,4.64,3.93,0.66,5.35,54.94
1937,8.49,2.82,1.63,5.07,2.93,6.24,5.97,4.89,2.61,7.91,2.14,1.03,51.73
1938,2.99,M,3.16,1.6,4.13,8.25,5.73,3.24,1.87,0.77,2.7,4.18,M
1939,2.92,4.99,3.21,2.8,1.33,3.88,6.05,7.66,1.21,2.73,1.89,2.11,40.78
1940,2.86,3.02,2.07,4.26,2.73,2.33,5.45,9.72,1.14,0.91,4.4,3.02,41.91
1941,2.38,0.75,1.47,3.77,0.52,4.73,8.7,1.12,0.09,1.09,1.28,4.34,30.24
1942,2.77,2.08,3.25,0.79,6.02,6.14,2.02,10.36,5.3,7.02,1.51,3.93,51.19
1943,4.18,2.04,4.51,2.61,4.47,4.48,2.51,2.27,1.57,1.3,0.75,2.93,33.62
1944,2.39,5.03,5.77,2.9,1.98,2.23,4.21,1.89,10.87,2.01,2.03,1.96,43.27
1945,2.37,2.76,1.96,3.98,3.16,2.72,6.26,3.01,6.9,0.9,3.33,3.99,41.34
1946,2.66,2.54,2.8,2.36,4.08,2.51,5.27,3.34,2.66,1.41,1.75,3.38,34.76
1947,4.2,0.64,3.06,2.93,2.99,4.15,4.04,3.48,2.96,3.13,4.13,0.89,36.6
1948,4.3,2.69,6.69,2.84,4.13,5.11,2.22,8.26,2.07,2.61,4.86,6.74,52.52
1949,4.45,2.5,3.49,3.91,3.84,8.5,4.07,4.03,2.68,2.83,1.2,2.31,43.81
1950,2.69,2.12,3.63,2.23,4.36,2.88,7.92,6.45,6.27,1.87,1.61,4.37,46.4
1951,1.79,2.31,3.49,4.66,2.08,7.26,2.58,2.46,1.56,1.66,5.1,4.82,39.77
1952,4.37,2.69,5.04,3.6,3.24,3.32,5.42,11.36,1.79,1.14,4.85,3.12,49.94
1953,3.41,2.89,4.82,3.26,3.04,4.78,2.46,2.77,3.11,3.97,1,4.86,40.37
1954,3.84,1.54,3.14,2.22,3.4,2.72,2.32,2,1.47,5.89,3.59,3.04,35.17
1955,1.33,4.36,4.37,2.79,3.66,4.92,3.68,6.17,2.15,0.95,1.51,0.61,36.5
1956,0.76,3.64,2.52,3.22,2.37,1.65,6.4,1.97,3.67,3.2,2.26,2.88,34.54
1957,3.99,4.31,1.11,3.77,1.36,5.3,2.05,2.4,7.48,1.93,4.36,3.09,41.15
1958,3.32,2.8,3.57,3.06,5.45,2.4,4.72,4.45,1.49,1.72,1.38,3.58,37.94
1959,2.01,1.57,3.4,4.26,1.57,1.85,4.56,4.76,4.91,3.61,2.63,2.49,37.62
1960,2.39,4.64,3.25,2.72,6.02,2.15,2.33,3.22,4.26,2.26,0.9,1.77,35.91
1961,1.06,5.23,4.15,2.72,3.06,6.12,2.28,4.12,4.05,4.55,2.46,4.89,44.69
1962,3.5,2.88,5.17,2.44,1.64,4.92,5.17,2.41,2.45,1.5,4.97,2.57,39.62
1963,1.92,1.86,4.56,1.15,1.87,1.29,1.75,0.93,3.83,0.79,5.1,1.51,26.56
1964,4.82,4.46,2.03,2.14,1.64,0.67,6.07,2.02,1.26,2.06,3.08,3.52,33.77
1965,2.18,3.35,4.35,1.42,2.21,2.04,1.83,2.87,2.31,4.39,1,0.33,28.28
1966,3.62,4.51,0.74,1.7,3.16,1.36,2.97,2.58,6.22,4.69,2.65,3.18,37.38
1967,2.18,2.13,2.61,1.45,3.69,2.54,5.41,11.27,1.17,1.83,1.28,5.95,41.51
1968,2.35,0.64,3.28,2.48,3.58,1.49,2.58,1.53,1.74,3.65,3.32,1.78,28.42
1969,2.3,2.56,4.32,2.21,2.37,3.27,4.06,3.03,2.29,0.87,1.24,5.37,33.89
1970,1.16,2.39,2.36,2.82,2.12,0.74,4.72,3.62,0.78,5.25,4.01,2.9,32.87
1971,1.73,4.45,2.64,2.29,9.07,2.85,4.48,3.02,1.85,7.4,3.11,1.38,44.27
1972,3.25,5.7,1.76,2.81,8.04,8.58,8.45,1.21,3.1,6.71,5.78,4.32,59.71
1973,3.05,2.94,6.44,4.57,3.81,4.17,6.64,4.44,2.53,3.95,1.04,7.15,50.73
1974,3.94,2.05,2.96,3.11,4.86,2.93,2.84,6,5.55,0.38,1.74,3.68,40.04
1975,3.82,2.66,9.24,2.31,6.54,4.78,4.42,4.68,7.42,2.43,2.96,4.34,55.6
1976,2.7,1.98,4.07,0.28,5.32,7.34,1.29,1.07,5.06,11.4,1.38,2.83,44.72
1977,1.76,0.61,2.71,4.84,1.5,3.39,1.15,5.73,2.25,5.77,5.7,3.29,38.7
1978,7.97,0.54,3.84,5.33,6.69,3.36,4.83,3.89,0.02,0.84,3.22,4.06,44.59
1979,6.65,4.99,3.78,3.26,3.1,5.28,4.5,3.42,9.22,3.77,3.18,1.13,52.28
1980,4.63,1.07,5.03,3.99,3.03,0.65,3.61,1.34,1.79,2.35,2.85,0.56,30.9
1981,0.49,3.81,1.81,2.44,1.66,5.24,5.02,4.21,3.61,2.8,0.93,3.9,35.92
1982,3.59,4.41,2.41,3.28,3.67,6.45,5.07,2.6,2.25,2.75,2.85,2.26,41.59
1983,1.14,3.7,4.13,6.67,2.83,1.64,1.46,2.62,1.66,5.99,5.14,5.48,42.46
1984,1.54,5.39,6.45,4.27,4.21,2.74,10.3,5.98,2.15,2.18,1.99,2.01,49.21
1985,2.77,3.41,0.96,1.83,5.97,1.45,3.61,7.1,0.06,3.3,8.77,1.11,40.34
1986,0.83,2.85,0.97,1.21,3.1,0.47,3.2,3.57,1.63,2.38,3.27,4.86,28.34
1987,4.35,3.33,2.35,7.95,3.15,0.86,2.98,0.99,7.36,0.67,3.92,3.38,41.29
1988,2.09,1.26,1.55,3.72,4.2,2.04,3.04,3.68,1.73,1.84,4.25,1.2,30.6
1989,1.37,2.91,3.55,5.03,5.57,9.97,8.3,4.39,9.9,3.73,1.38,3.01,59.11
1990,3.19,3.2,4.02,3.1,5.7,4.79,2.78,3.27,2.03,10.81,1.68,5.14,49.71
1991,3,2.2,6.66,2.8,2.66,1.14,4.51,1.37,0.74,0.62,3.25,5.52,34.47
1992,2.31,2.94,3.2,4.26,5.99,1.88,3.27,1.5,4.13,1.76,5.6,3.45,40.29
1993,4.14,3.59,7.01,3.59,2.23,2.33,5.06,1.61,1.67,1.77,3.16,4.89,41.05
1994,4.78,4.61,7.24,1.72,1.85,4.49,7.14,3.16,2.41,1.03,1.88,1.78,42.09
1995,4.64,2.14,1.14,1.27,4.87,9.26,4.82,0.73,2.7,7.3,3.04,2.05,43.96
1996,6.33,2.7,4.24,2.01,5.02,2.57,2.78,4.78,12.57,3.1,4.42,4.57,55.09
1997,4.35,2.98,4.4,3.61,0.88,3.38,2.75,1.64,3.08,1.84,4.29,2.72,35.92
1998,7.85,6.08,5.05,5.5,4.74,2.63,1.98,6.27,1.87,1.5,1.17,3.08,47.72
1999,4.53,2.64,2.71,2.35,0.94,1.56,4.39,2.5,12.05,1.41,2.29,2.35,39.72
2000,3.33,1.84,2.51,3.48,2.02,5.41,6.88,5.6,4.02,0.01,1.23,1.51,37.84
2001,2.42,1.7,4.9,1.25,4.31,4.51,4.84,2.21,2.17,0.7,0.3,3.16,32.47
2002,2.33,1.03,3.88,1.82,4.16,0.72,4.64,1.79,2.46,4.62,5.4,4.04,36.89
2003,1.53,5.75,4.16,5.32,8.17,5.71,8.31,3.56,7.13,2.28,3.64,3.35,58.91
2004,1.74,2.03,1.83,2.93,2.2,5.26,2.63,3.01,6.64,1.98,5.14,2.41,37.8
2005,3.73,1.79,3.51,2.25,2.12,3.33,4.31,2.28,0.12,7.29,4.05,3.03,37.81
2006,3.15,2.07,0.76,2.44,1.65,6.75,2.37,4.19,7.73,6.76,4.77,1.66,44.3
2007,3.33,2,3.95,3.1,3.37,3.06,7.19,1.49,1.21,4.97,0.46,2.65,36.78
2008,1.27,1.95,3.61,4.39,2.86,1.94,1.07,2.73,2.28,2.09,3.94,3.48,31.61
2009,3.13,1.14,3.23,2.87,7.04,3.71,3.09,2.37,2.17,3.17,8.19,6.82,46.93
2010,4.79,2.29,5.22,2.86,4.56,3.13,2.89,6.53,6.83,2.49,1.93,2.16,45.68
2011,1.3,2.12,2.69,5.36,3.33,3.81,2.99,2.06,4.49,2.95,3.27,4.61,38.98
2012,2.22,2.61,5.78,2.44,2.36,1.71,2.73,2.7,2.35,1.68,0.61,2.65,29.84
2013,6.06,1.57,3.31,3.38,6.12,6.32,3.41,3.55,0.48,2.34,3.35,5.69,45.58
2014,3.27,3.81,2.93,5.62,5.39,2.4,5.79,4.78,1.62,3.57,2.43,3.12,44.73
2015,1.86,2.52,3.28,4.06,1.66,5.59,3.79,1.98,7.13,4.07,4.39,4.97,45.3
2016,2.77,4.52,3.36,2.12,6.89,6.27,6,1.19,3.38,1.73,1.17,3.1,42.5
2017,3.78,0.6,2.66,4.18,7.88,2.09,3.3,2.24,1.91,2.57,1.02,0.69,32.92
2018,2.94,5.72,3.07,4.8,8.32,4.87,5.78,4.44,6.77,4.76,7.09,7.14,65.7
2019,2.83,4.82,3.55,4.02,2.09,3.79,3.24,3.24,0.17,6.73,1.69,2.85,39.02
2020,3.98,5.37,2.79,7.56,3.65,4.91,3.74,10.96,6.48,6.43,8.51,5.35,69.73
2021,3.81,4.24,3.17,2.73,1.7,5.26,2.47,2.44,2.62,2.76,0.95,0.94,33.09
2022,3.93,3.14,3.93,2.21,5.72,2.16,9.47,2.64,1.79,2.3,4.73,5.68,47.7
2023,3.05,3.16,1.67,4.79,1.91,4.33,10.39,2.31,3.53,0.97,2.26,5.04,43.41
2024,6.3,2.75,4.2,2.27,2.49,0.04,5.86,6.63,6.02,0.2,M,M,M
