Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1914,3.65,3.27,3.66,1.28,2.5,2.76,M,2.47,1.47,1.67,2.2,4.95,M
1915,5.41,3.92,1.1,1.68,3,3.77,2.42,7.34,1.99,3.27,0.63,1.93,36.46
1916,1.51,3.68,1.57,1.94,4.74,8.72,5.39,1.55,2.01,1.44,1.31,3.4,37.26
1917,2.98,2.28,5.97,2.56,4.59,5.31,6.28,2.74,4.62,3.78,0.44,1.72,43.27
1918,5.81,0.91,3.98,8.02,3.3,5.36,1.05,2.76,3.55,0.59,1.26,4.79,41.38
1919,3.64,2.22,3.51,3.25,5.19,3.9,9.92,2.62,0.54,1.71,1.31,2.3,40.11
1920,2.02,6.67,3.11,2.96,3.06,6.34,6.05,8.69,2.72,0.66,6.69,1.87,50.84
1921,3.79,3.52,2.13,4.65,3.89,1.49,2.36,0.61,0.95,1.2,2.97,3.02,30.58
1922,4.58,3.81,7.01,2.01,3.27,6.42,8.48,7.78,0.66,3.68,0.86,3.14,51.7
1923,4.61,3.09,5.88,3.96,1.16,2.09,10.87,6.41,4.25,2.16,2.2,2.28,48.96
1924,2.98,2.34,4,5.11,7.36,4.85,2.33,3.05,9.58,0.78,1.61,3.4,47.39
1925,5.42,0.9,2.47,2.33,2.15,2.24,2.32,2.55,0.93,4.67,1.55,3.89,31.42
1926,3.3,3.6,1.96,2.01,1.59,2.19,7.17,5.24,1.46,0.81,3.63,4.56,37.52
1927,0.7,2.84,1.95,3.47,3.3,3.12,9.1,7.19,4.01,2.02,1.61,5.02,44.33
1928,2.23,1.84,2.71,6.86,1.99,7.19,1.95,8.05,7.01,0.4,1.2,1.46,42.89
1929,1.53,5.19,3.96,3.5,4,3.02,2.16,2.41,2.41,6.99,3.34,2.7,41.21
1930,4.25,1.21,1.07,3.19,2.46,5.18,4.51,2.35,1.37,1.31,1.63,2.48,31.01
1931,1.88,2.6,2.94,3.97,5.64,2.98,4.47,11.42,1.92,1.15,0.24,2.52,41.73
1932,5.64,1.66,6.21,1.69,4.17,3.17,1.66,1.36,0.75,6.58,3.5,4.84,41.23
1933,3.85,2.73,2.15,4.02,4.84,1.63,4.59,8.84,1.05,0.72,1.17,3.14,38.73
1934,1.63,5.34,4.36,2.1,4.83,3.65,3.22,3.22,5.92,0.82,3.34,2.32,40.75
1935,4.41,2.13,4,4.4,3.81,6.22,5.64,3.68,9.23,1.73,3.19,2.12,50.56
1936,7.76,3.92,3.83,2.68,0.45,3.88,3.18,2.9,1.43,1.68,0.92,4.34,36.97
1937,10.08,2.42,1.66,6.02,1.64,6.02,6,9.85,2.61,6.34,2.44,0.9,55.98
1938,3.28,1.82,3.72,3.24,4.92,9.24,11.89,0.95,4.41,1.57,2.74,2.74,50.52
1939,3.4,3.98,5.33,3.04,1.39,5.41,5.23,8.34,1.7,4.84,2.18,1.51,46.35
1940,4.16,2.99,2.31,4.22,4.26,4.02,4.45,9.33,1.77,2.27,4.59,1.83,46.2
1941,2.19,1.17,1.97,3.44,1.31,1.83,2.82,3.05,1.23,0.35,0.66,2.89,22.91
1942,3.59,1.03,5.31,0.78,1.11,5.3,3.52,6.61,3.71,6.74,1.31,3.04,42.05
1943,2.87,2.27,3.01,2.11,4.04,3.15,3.87,0.52,5.13,2.9,1.44,1.98,33.29
1944,2.83,5.61,5.85,3.59,1.41,1.42,7.76,6.44,5.5,1.79,3.94,2.26,48.4
1945,2.25,3.57,1.33,3.5,5.09,1.71,18.87,2.92,8.49,0.91,3.09,5.28,57.01
1946,2.16,2.69,2.23,2.59,7.73,6.01,6.64,3.87,4.39,2.36,1.9,2.71,45.28
1947,4.31,1.43,2.22,2.53,4.69,4.48,3.33,1.87,6.38,2.37,7.03,1.56,42.2
1948,4.11,2.64,5.52,4.59,6.32,2.73,4.08,7.78,2.96,3.22,5.49,4.12,53.56
1949,3.35,2.55,2.12,2.22,5.11,3.53,6.34,8.99,2.64,3.87,1.88,1.94,44.54
1950,2.17,1.71,3.2,0.74,4.27,0.99,6.69,3.32,4.04,1.77,1.74,2.73,33.37
1951,1.08,1.9,2.85,2.26,2.51,5.85,2.63,5.23,0.98,2.71,4.52,3.63,36.15
1952,5.71,2.76,5.05,5.32,3.72,4.5,2.71,6.41,2.35,2.04,6.42,3.37,50.36
1953,4.47,3.36,3.95,3.16,2.35,3.06,2.04,0.99,6.84,2.16,1.85,2.94,37.17
1954,3.7,1.56,2.44,3.08,4.36,1.09,1.3,3.95,0.69,4.99,1.86,2.43,31.45
1955,1.09,3.18,2.66,3.14,1.79,3.06,7.93,14.1,5.79,2.57,1.76,0.86,47.93
1956,1.65,3.57,3.06,2.75,4.35,3.28,10.32,2.28,2.96,4.92,6.11,3.98,49.23
1957,3.36,5.29,2.82,2.25,2.75,3.92,1.8,7.46,3.43,5.35,5.3,6.88,50.61
1958,2.96,4.38,3.81,4.35,5.79,6.09,3.27,9.77,1.9,5.35,1.43,4.43,53.53
1959,1.31,1.87,2.92,4.32,2.44,3.45,12.85,5.75,3.3,3.25,7.64,2.24,51.34
1960,2.13,4.56,3.29,3.57,3.59,0.91,7.34,7.2,6.21,3.31,0.85,3.04,46
1961,2.57,5.39,4.02,1.73,4.83,6.49,2.85,3.9,1.64,8.78,1.81,5.05,49.06
1962,5.95,3,4.87,3.8,4.08,5.57,5.65,2.37,3.46,0.5,6.73,2.64,48.62
1963,1.55,2.98,5.62,0.64,2.39,7.01,0.52,3.75,3.2,0.3,6.7,2.8,37.46
1964,4.16,4.46,2.61,2.71,1.14,2.4,6.46,9.88,2.56,3.68,1.98,3.05,45.09
1965,2.51,2.77,3.68,2.13,0.87,3.39,6.33,0.81,4.81,1.38,0.36,0.72,29.76
1966,4.58,3.8,0.94,2.18,2.58,2.54,4.07,1.31,5.06,4.81,1.31,3.07,36.25
1967,1.5,3.35,2.34,1.32,3.71,3.58,5,6.65,0.95,1,1.76,6.48,37.64
1968,2.53,0.98,4,2.93,3.13,2.89,3.41,3.71,1.78,1.59,3.87,2.28,33.1
1969,2.04,3.95,3.95,2.6,3.32,4.36,13.9,9.31,3.89,1.88,1.87,5.26,56.33
1970,1.32,2.37,3.7,2.84,1.84,1.12,4.74,1.69,1.02,1.55,3.1,3,28.29
1971,1.84,4.37,2.68,1.76,6.82,4.1,4.4,3.73,2.35,9.39,2.76,0.75,44.95
1972,1.43,5.15,2.11,3.35,8.87,8.82,5.8,3.84,3.35,7.89,5.82,2.91,59.34
1973,2.66,3.11,3.44,4.58,3.56,2.45,3.64,4.34,1.82,2.56,1.27,7.07,40.5
1974,3.21,2.54,3.79,1.58,3.02,1.8,2.25,6.84,4.83,0.39,1.23,4.22,35.7
1975,5.71,2.96,8.04,2.78,2.59,4,12.29,2.31,10.98,3.1,2.04,4.51,61.31
1976,3.39,1.35,2.14,1.08,3.76,2.85,2.63,1.35,4.78,6.99,1.88,2.56,34.76
1977,2.22,1.34,2.67,2.33,3.99,1.25,4.2,6.15,2.16,7.88,4.32,5.57,44.08
1978,7.97,0.48,5.67,4.31,3.92,5.26,4.24,5.93,0.26,1.21,4.57,3.8,47.62
1979,6.16,5.97,2.59,3.97,3.8,2.42,4.36,7.08,9.76,3.87,5.5,1.64,57.12
1980,6.05,1.01,5.49,4.28,4.68,0.38,5.18,2.15,2.37,6.96,2.18,0.4,41.13
1981,0.64,2.76,1.52,2.96,6.62,3.69,4.01,2.89,2.7,2.36,0.68,5.04,35.87
1982,2.76,4.44,3.74,2.97,3.48,3.97,9.21,4.39,2.55,2.9,2.7,3.37,46.48
1983,1.59,3.95,6.04,5.21,2.5,5.46,0.51,0.97,3.05,4.02,5.63,4.5,43.43
1984,3.98,3.97,8.65,5.92,4.52,2.01,3.55,4.58,1.86,2.14,3.34,1.52,46.04
1985,3.54,3.2,1.8,0.65,2.36,4.01,5.31,10.58,4.97,5.09,6.99,0.58,49.08
1986,2.69,2.67,1.16,1.16,3.15,1.3,7.01,6.75,0.63,2.43,2.46,5.15,36.56
1987,5.53,2.57,1.65,7.31,2.94,6.29,1.2,1.11,4.43,1.25,3.13,2.86,40.27
1988,2.53,3.08,1.98,2.55,4.81,2.25,7.5,2.95,1.74,2.74,4.34,0.79,37.26
1989,1.88,4.34,5,4.27,5.02,5.85,4,4.89,5.33,3.54,3,2.62,49.74
1990,2.84,2.38,2.54,2.81,6.85,0.97,6.74,5.76,1.92,3.9,1.7,3.52,41.93
1991,3.62,1.09,5.87,0.87,0.91,6.24,3.47,3.32,2.69,2.5,0.67,4.53,35.78
1992,1.57,2.89,5.87,2.21,4.95,2.28,5.68,6.4,2.35,1.94,2.62,2.79,41.55
1993,4.48,2.88,7.24,3.23,4.66,1.75,1.91,3.89,2.97,2.23,3.24,3.77,42.25
1994,3.1,4.38,7.92,2.7,2.49,1.73,7.46,2.54,3.99,2.56,3.99,0.95,43.81
1995,3.15,1.14,3,1.98,4.33,1.85,2.89,2.59,3.82,5.11,2.87,1.71,34.44
1996,4.65,2.97,2.71,2.88,3.18,4.35,6.51,4.4,6.87,7.18,3.52,4.91,54.13
1997,1.93,3.71,2.96,3.94,1.36,2.21,4.85,1.41,0.82,3.25,5.33,2.36,34.13
1998,6.85,5.76,6.72,4.32,3.72,4.41,2.37,1.89,3.94,0.47,1.3,5,46.75
1999,4.7,1.47,4.04,2.6,2.75,6.29,2.77,2,16.6,2.25,1.01,1.72,48.2
2000,3.96,1.6,3.67,4.78,3.03,6.07,4.05,8.28,3.6,0.01,1.72,2.38,43.15
2001,2.06,2.55,3.77,2.14,2.03,6.53,2.73,5.08,2.14,0.65,0.17,1.67,31.52
2002,3.58,0.82,4.48,2.33,3.49,1.56,1.63,3.18,2.88,6.09,4.28,3.45,37.77
2003,2.18,4.21,5.92,4.38,8.59,3.87,9.26,4.66,10.12,2.43,3.39,4.28,63.29
2004,1.55,1.87,2.22,3.42,3.06,9.93,6.42,16.3,6.14,1.95,3.27,2.37,58.5
2005,3.42,1.39,3.99,2.05,4.22,1.19,9.28,2.56,0.08,3.74,3.81,5.81,41.54
2006,2.89,1.47,0.2,2.18,3.24,7.85,4.57,5.99,9.52,6.12,6.67,1.42,52.12
2007,3.46,2.06,2.66,3.62,3.69,5.22,1.69,6.81,1.11,3.54,0.8,3.24,37.9
2008,0.96,3.41,3.5,8.32,5.1,3.64,4.05,5.73,5.94,1.32,3.51,4.07,49.55
2009,1.49,0.74,4.26,2.56,3.71,4.32,3.39,4.04,2.46,3.59,9.6,8.16,48.32
2010,3.6,2.82,6.17,1.59,2.62,0.82,1.19,3.92,6.49,2.14,1.27,3.26,35.89
2011,2.48,2.09,4.28,2.63,4.35,3.03,3.63,7.1,8.95,2.79,4.18,2.03,47.54
2012,1.73,3.22,2.51,2.4,2.45,4.27,5.29,3.5,4.08,4,0.27,2.83,36.55
2013,5.33,2.6,5.57,2.88,2.5,6.5,5.88,7.61,1.39,4.25,3.06,6.11,53.68
2014,3.28,3.03,3.24,4.05,2.44,3.39,2.63,3.61,1.35,2.63,2.95,3.14,35.74
2015,3.49,3.77,3.78,5.33,1.61,5.91,5.89,2.77,3.43,3.24,3.91,5.94,49.07
2016,3.3,4.35,1.02,2.17,9.79,7.81,4.47,0.53,11.19,4.24,1.08,2.8,52.75
2017,4.29,0.71,3.68,2.28,7.57,2.33,2.25,5.94,1.48,4.95,1.43,1.05,37.96
2018,3.41,2.04,2.33,3.58,10.35,13.32,5.68,3.35,4.53,6.04,5.65,3.45,63.73
2019,2.62,3.69,3.86,3.08,5.83,5.14,6.22,2.29,0.42,4.66,1.8,3.27,42.88
2020,3.59,3.59,2.66,4.71,1.9,5.25,2.8,15.34,6.92,5.63,4.43,6.7,63.52
2021,3.58,5.12,3.89,1.34,2.33,4.02,6.59,7.21,5.79,5.61,0.7,1.07,47.25
2022,4.48,1.51,3.51,2.22,3.86,6.58,1.48,4.07,1.68,1.91,3.71,4.52,39.53
2023,2.82,2.1,1.24,4.05,4.47,3.64,5.82,2.08,4.99,1.31,2.08,8.87,43.47
2024,5.76,3.34,7.13,1.58,6.89,1.69,8.39,5.05,2.99,0.61,M,M,M
