Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1922,3.49,4.85,4.95,1.88,3.41,9.78,11.92,8.04,0.53,2.75,0.44,2.93,54.97
1923,1.74,2.01,5.12,3.59,M,1.43,4.12,4.47,3.23,1.7,1.95,0.93,M
1924,1.96,3.15,3.16,2.89,M,6.46,4.35,4.27,6.59,0.11,2.45,2.85,M
1925,6.22,1.31,3.29,1.74,M,2.6,5.01,1.05,3.02,2.22,1.97,4.2,M
1926,4.52,2.5,3.11,2.45,M,2.69,1.03,5.73,2.17,1.65,2.59,4.52,M
1927,0.63,3.24,2.18,4.87,M,4.68,4.51,3.85,1.68,5.14,2.36,5.99,M
1928,1.51,2.85,2.73,4.24,M,7.84,4.41,2.05,9.79,1.24,1.92,3.85,M
1929,1.72,4.24,2.8,1.06,M,3.35,4.09,2.64,3.87,5.66,3.72,1.83,M
1930,4.09,1.24,1.68,2.38,M,5.9,2.5,0.64,0.57,2,1.26,3.02,M
1931,1.57,1.7,2.74,3.24,4.62,5.13,4.56,4.25,1.45,0.74,0.29,1.71,32
1932,4.53,2.15,3.13,1.63,2.48,3.26,3.21,1.6,1.51,3.96,2.34,3.7,33.5
1933,2.99,2.52,1.99,2.13,1.76,2.05,5.26,13.13,2.07,0.39,0.99,0.66,35.94
1934,1.88,5.68,6.31,2.04,6.96,1.59,8.88,4.37,6.8,0.2,2.35,1.83,48.89
1935,3.1,3.53,4.08,5.22,2.89,1.81,7.8,3.63,5.56,0.78,3.64,2.23,44.27
1936,6.6,4.16,3.83,4.71,0.98,3.95,9.3,1.77,4.95,5.31,1.87,5.88,53.31
1937,8.46,2.53,3.08,6.44,3.35,7.49,5.69,6.77,4.47,3.98,5.57,1.87,59.7
1938,2.8,1.1,3.73,5.78,5.06,7.25,5.28,2.78,7.76,2.09,3.19,2.45,49.27
1939,3.93,5.52,2.4,4.26,1.53,6.51,12.4,9.2,0.56,5.04,3.14,1.15,55.64
1940,2.35,2.38,2.05,3.37,3.64,2.31,3.44,10.14,4.1,1.1,4.45,1.16,40.49
1941,2.07,2.58,2.5,3.24,0.94,4.31,4.52,4.99,2.8,2.37,1.57,2.87,34.76
1942,2.76,2.63,5.52,0.73,2.7,1.23,1.61,15.61,2.83,5.87,0.96,5.15,47.6
1943,2.8,1.81,4.18,2.77,3.23,4.28,10.27,1,6.89,3.9,1.36,2.01,44.5
1944,4.47,5.9,6.97,2.57,0.85,1.24,1.43,6.25,9.61,3.45,4.08,2.43,49.25
1945,1.72,8.66,1.3,2.12,2.64,7.72,10.82,3.41,5.74,1.32,4.02,5.87,55.34
1946,2.89,3.58,1.07,3.36,5.95,3.9,6.32,7.17,4.56,1.22,3.44,1.17,44.63
1947,3.95,1.12,3.71,2.84,1.47,4.95,5.97,1.29,4.02,1.77,5.31,2.5,38.9
1948,4.02,3.84,2.61,5.69,7.31,5.46,3.8,4.7,1.89,2.82,5.9,4.23,52.27
1949,1.6,4.38,2.9,1.66,5.42,2.84,6.11,9.35,3.01,2.34,3.39,2.49,45.49
1950,2.12,0.86,2.59,3.17,2.14,2.81,12.83,5.55,2.48,2.15,1.55,2.57,40.82
1951,1.68,1.64,2.9,2.28,2.95,4.42,4.39,7.16,0.98,3.23,7.01,2.8,41.44
1952,4.56,4.97,4.54,2.22,2.91,1.33,3.11,5.69,3.05,2.63,5.64,3.17,43.82
1953,1.72,3.48,2.67,5.8,3.16,2.92,3.56,9.14,4.17,1.05,2.74,2.69,43.1
1954,6.4,1.59,4.14,2.46,5.78,0.37,4.96,7.27,2.77,1.7,2.13,3.62,43.19
1955,2.41,2.71,3.96,1.73,1.58,2.47,2.34,8.16,9.26,1.48,2.05,2.14,40.29
1956,2.49,5.72,3.09,3.81,2.57,2.07,6.63,5.04,3.7,8.06,1.51,2.76,47.45
1957,4.11,4.74,4.06,1.86,1.94,3.56,2.18,5.96,7.18,3.44,4.81,4.53,48.37
1958,4.16,3.55,6.41,3.28,6.23,4.99,6.27,10.48,0.36,4.88,3.07,4.1,57.78
1959,1.52,1.84,3.96,5.03,1.98,2.49,7.49,2.81,10.73,8.78,1.85,2.65,51.13
1960,3.85,3.57,2.54,1.4,4.43,2.57,4.78,6.49,5.88,2.76,1.1,2.37,41.74
1961,3.52,4.56,3.59,2.74,7.77,6.7,1.69,7.42,1.62,4.12,1.2,3.74,48.67
1962,5.56,2.5,4.32,4.49,3.68,3.03,9.05,4.09,3.08,4.48,4.06,3.8,52.14
1963,3.36,3.75,2.98,1.29,1.55,9.72,2.01,2.4,6.84,1.21,5.31,2.85,43.27
1964,4.56,4.56,2.26,2.38,1.56,2.58,7.33,10.58,12.26,5.55,1.14,2.95,57.71
1965,2.73,2.53,2.83,2.19,1.48,4.69,3.46,3.08,0.77,1.29,0.49,1.08,26.62
1966,4.86,3.83,1.5,1.68,5.95,1.82,4.26,5.24,3.39,1.25,1.05,3.13,37.96
1967,5.44,3.56,1.34,1.31,3.25,1.37,7.21,11.19,3.02,0.93,1.75,4.84,45.21
1968,3.62,2.01,4.76,3.17,2.16,3.07,4.23,2.04,1.51,4.44,3.56,3.14,37.71
1969,2.26,2.16,4.88,2.07,2.05,4.13,12.7,5.28,2.72,3.18,2.97,3.93,48.33
1970,2.27,3.97,3.37,3.19,2.58,4.1,5.33,2.04,1.72,1.3,2.34,3.01,35.22
1971,4.03,3.59,3.88,2.18,4.46,2.16,4.81,4.63,5.46,10.12,0.97,1.44,47.73
1972,2.94,3.5,2.55,2.15,3.35,4.93,4.65,1.6,6.91,4.09,5.44,4.12,46.23
1973,2.54,3.21,4.69,3.44,3.62,5.93,4.19,7.92,0.86,1.37,1.9,5.83,45.5
1974,3.52,2.98,5.16,3.34,3.74,4.76,5.47,8.33,4.4,1.23,1.22,3.81,47.96
1975,4.18,4.18,5.72,4.19,3.37,1.16,13.73,0.74,4.82,3.19,1.63,3.62,50.53
1976,2.51,1.5,2.21,0.99,3.74,1.59,5.19,2.62,3.51,2.9,2.38,3.22,32.36
1977,3.33,2.23,4.05,2.2,3.86,2.41,2.7,4.57,3,6.09,5.41,3.92,43.77
1978,6.32,1.91,7.8,2.9,5.64,7.84,4.19,1.66,1.17,1.5,4.4,2.31,47.64
1979,6.47,5.01,5.13,7,10.12,2.97,4.69,1.79,13.8,1.74,5.26,0.98,64.96
1980,4.54,2.91,4.4,3.25,5.17,1.39,1.85,4.54,1.47,4.21,2.01,2.64,38.38
1981,1.05,2.26,1.88,2.26,2.75,5,5.1,6.87,3.18,3.28,1.78,5.77,41.18
1982,3.35,5.81,3.04,1.71,3.07,4.22,5.83,6.51,3.63,4.25,3.43,4.3,49.15
1983,2.21,6.23,4.55,6.13,3.52,3.84,0.77,3.07,4.52,5.29,3.24,6.1,49.47
1984,2.77,4.66,5.09,7.25,6.23,1.5,7.66,2.25,1.94,0.57,2.68,2.22,44.82
1985,3.98,3.53,2.02,0.43,3.23,6.81,6.14,1.89,6.36,3.92,5.71,0.79,44.81
1986,2.52,2.71,0.75,3.31,1.41,1.51,2.59,4.8,0.26,1.67,1.21,3.74,26.48
1987,9.93,3.11,2.3,3.83,2.65,2.98,3.2,2.04,7,1.81,3.51,2.33,44.69
1988,3.12,2.7,2.11,3.53,5.49,3.83,2.93,5.69,1.74,2.85,4.02,0.67,38.68
1989,2.69,5.8,8.5,3.62,2.97,5.1,4.86,7.49,5.1,2.94,3.69,3.86,56.62
1990,3.26,2.93,3.49,3.55,3.79,3.51,4.06,11.85,1,3.73,1.68,2.67,45.52
1991,4.74,0.84,4.7,6.39,0.64,4.54,6.46,3.77,2.04,4.65,1.72,2.43,42.92
1992,4.48,2.07,2.63,1.26,3.46,2.22,4.52,14.32,2.06,2.85,4.26,3.15,47.28
1993,4.89,2.36,5.91,3.59,2.88,2.79,0.36,1.45,4.14,3.4,0.97,3.29,36.03
1994,4.06,3.64,10.36,0.56,3.52,1.27,14.37,3.65,2.02,2.5,5.25,1.2,52.4
1995,2.4,2.8,2.95,2.76,2.42,4.54,1.78,1.5,5.05,4.82,2.94,1.86,35.82
1996,5.49,3.04,3.46,4.94,3.59,6.6,7.46,5.19,2.72,4.71,2.87,3.86,53.93
1997,2.09,2.94,3.21,3.01,1.66,1.1,7.85,1.76,1.97,4.31,4.94,2.64,37.48
1998,6.02,8.21,4.15,4.31,3.99,4.56,3.91,8.47,2.25,1.73,1.83,5.33,54.76
1999,3.51,2.33,3.29,3.66,3.85,3.6,6.17,4.47,13.16,8.24,1.4,1.71,55.39
2000,5.07,1.13,2.4,3.7,4.05,8.31,7.52,8.35,6.25,0.01,1.67,0.97,49.43
2001,1.46,2.16,4.73,1.48,2.89,6.91,4.4,4.21,2.46,0.75,0.08,1.83,33.36
2002,4.22,1.38,4.91,2.4,3.5,4.28,3.59,4.27,6.69,6.55,4.92,4.16,50.87
2003,2.34,5.25,2.91,6.39,4.66,3.43,8.56,6.08,9.54,3.91,2.45,6.24,61.76
2004,1.59,1.82,2.09,2.82,4.67,4.86,10.89,11.11,3.3,1.88,2.65,2.41,50.09
2005,2.48,2.32,2.25,2.74,4.02,4.5,3.67,7.61,2.9,5.53,3.79,4.3,46.11
2006,2.68,0.65,0.52,3.65,2.96,10.53,1.34,3.13,11.64,3.54,6.46,2.06,49.16
2007,2.71,2.09,1.84,3.19,2.06,3.8,4.77,3.71,0.38,5.39,0.31,3.5,33.75
2008,1.36,3.41,2.96,6.37,2.88,1.93,5.19,0.67,9.41,1.47,5.32,3.83,44.8
2009,1.82,1.26,5.28,2.28,4.77,5.81,2.47,13.22,7.77,3.21,9.2,7.57,64.66
2010,3.81,4.2,6.02,1,4.6,3.76,5.84,3.59,12.16,2.68,0.43,2.88,50.97
2011,3.64,2.24,2.96,1.21,1.95,4.63,10.89,10.79,7.26,2.13,1.84,1.56,51.1
2012,1.8,2.67,2.62,2.95,6.43,5.27,4.81,6.13,1.27,8.98,0.94,4.48,48.35
2013,2.76,4.8,2.5,3.21,4.15,2.62,8.19,5.04,0.93,4.13,2.57,4.75,45.65
2014,3.23,3.06,3.82,4.87,4.64,1.91,7.87,3.01,9.17,1.57,3.44,3.7,50.29
2015,3.64,2.54,2.69,4.62,1.51,8.34,7.93,1.85,5.42,3.66,4.62,3.37,50.19
2016,4.62,6.25,3.46,2.78,5.12,5.06,10.33,4.75,13.54,9.43,0.98,2.54,68.86
2017,4.41,0.66,4.61,3.58,8.56,3.27,4.41,9.04,1.99,5.06,1.17,2.4,49.16
2018,3.51,1.73,3.88,3.41,7.68,4.96,9.21,8.13,3.88,2.27,4.13,3.89,56.68
2019,3.81,4.69,2.43,3.24,3.57,3.85,5.46,7.57,3.63,3.73,2.17,2.03,46.18
2020,3.58,4.48,5.19,4.59,2.56,3.5,2.2,7.99,7.63,2.58,7.64,4.39,56.33
2021,3.81,6.44,1.98,2.68,2.26,4.44,2.63,6.23,2.99,2.44,1.21,1.81,38.92
2022,5.47,1.62,4.49,2.52,4.5,2.27,5.18,1.21,3.78,2,3.11,3.06,39.21
2023,3.12,2.51,2,3.95,2.71,7.1,8.81,7.47,2.89,1.13,2.43,6.43,50.55
2024,3.2,2.94,10.3,1.23,5.56,3,10.68,3.43,4.42,0.06,M,M,M
