Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1974,2.79,1.17,2.45,1.42,3.62,5.89,3.12,2.22,2.21,1.23,1.67,3.28,31.07
1975,2.03,2.88,5.07,1.26,4.35,3.46,4.84,5.12,5.84,2.68,2.09,2.71,42.33
1976,2.19,0.63,1.25,0.88,2.79,3.07,2.73,1.22,4.86,8.4,1.21,1.63,30.86
1977,0.69,0.44,1.87,2.19,0.64,1.1,1.51,4.11,2.14,3.21,4.91,2.43,25.24
1978,5.13,0.25,3.43,1.31,4.2,3.31,6.66,6.32,1.03,0.72,2.54,2.88,37.78
1979,4.86,3.43,2.4,2.43,4.23,5.26,2.69,4.02,6.74,5.36,3.57,0.94,45.93
1980,2.88,0.82,3.25,5.8,2.85,0.51,4.29,2.85,1.83,1.4,2.69,0.17,29.34
1981,0.29,2.03,0.41,1.61,4.33,4.03,5.47,1.1,2.7,3.4,0.72,1.52,27.61
1982,1.81,3.2,3.09,2.44,2.07,5.78,6.16,3.39,1.25,2.27,3.41,1.73,M
1983,M,1.99,2.6,4.74,4.3,3.43,0.83,1.97,1.92,4.16,3.03,5.06,M
1984,1.27,3.7,4.03,5.46,1.72,1.13,5.48,6.13,1.48,3.13,3.34,1.63,38.5
1985,1.61,2.57,1.04,0.74,5.81,1.91,4.26,4.41,0.05,4.59,8.59,0.75,36.33
1986,0.62,2.15,1.48,1.95,2.59,1.53,2.16,1.48,2.29,1,4.33,2.93,24.51
1987,2.92,1.52,1.79,6.01,2.76,2.44,1.44,2.25,9.71,1.02,2.78,2.5,37.14
1988,1.96,0.89,0.89,1.4,5.1,1.87,2.58,2.9,3.31,0.76,3.39,1.02,26.07
1989,1.48,1.49,2.44,3.55,5.67,5.65,5.79,4.78,2.71,3.47,1.79,1.77,40.59
1990,1.86,2.71,1.87,2.14,4.44,1.64,3,4.81,2.55,8.29,1.1,4.15,38.56
1991,3.31,1.31,4.87,1.88,2.05,3.66,7.02,1.79,0.76,0.37,1.42,4.53,32.97
1992,1.72,2.37,3.3,4.06,3.63,2.57,4.03,1.82,4.13,0.8,3.94,3.04,35.41
1993,2.59,2.14,5.67,4.47,2.47,2.61,2.03,2.52,4.2,2.37,3.45,3.24,37.76
1994,3.13,3.44,6.04,3.29,2.77,1.69,3.9,5.7,0.88,0.75,2.08,1.54,35.21
1995,4.18,1.1,1.57,1.28,5.29,5.49,6.07,5.29,2.52,5.26,2.27,2.08,42.4
1996,7.11,2.02,3.41,1.22,5.69,6.97,4.77,7.45,12.22,2.22,3.07,4.57,60.72
1997,1.53,2.09,4.76,1.78,1.5,3.22,5.28,3.21,2.93,1.69,4.18,3.52,35.69
1998,7.42,5.47,5.57,4.07,4.95,4.7,0.75,1.83,1.41,1.24,0.68,1.88,39.97
1999,4.2,1.58,2.51,1.32,2.39,0.61,1.89,2.62,7.75,1.49,1.3,1.6,29.26
2000,1.17,1.37,2.67,2.99,3.94,7.29,4.96,2.45,5.89,0.07,1.2,1.24,35.24
2001,1.86,0.98,4.09,1.64,3.93,3.47,4.25,3.02,1.48,0.53,0.64,1.63,27.52
2002,0.71,0.45,3.2,5.07,3.13,0.74,5.1,M,3.49,5.22,3.88,2.74,M
2003,1.29,5.85,3.37,3.37,5.87,6.61,5.33,6.31,7.72,1.76,2.9,2.88,53.26
2004,0.67,2.8,2.24,3.65,6.11,2.31,3.65,2.97,8.21,1.54,3.73,2.44,40.32
2005,1.33,1.14,2.87,2.86,2.09,1.59,4.6,2.96,0.22,4.22,3.47,2.08,29.43
2006,2.59,1.7,0.68,3.77,1.33,6.65,5.54,3.13,6.03,4.95,4.61,1.86,42.84
2007,1.8,2.61,3.58,3.58,1.89,M,3.25,7.51,1.18,3.31,1.27,2.66,M
2008,1.28,2.77,2.04,3.76,4.01,2.98,5.38,2.92,1.68,1.09,2.44,3.5,33.85
2009,2.01,0.54,1.65,3.72,6.58,4.12,2.62,2.7,3.12,2.31,4.25,5.41,39.03
2010,3.36,2.51,3.64,0.77,2.7,1.1,2.29,2.31,2.27,2.16,2.2,2.74,28.05
2011,1.01,1.95,4.35,7.04,5.84,3.65,2.48,5.86,5.31,3.37,2.47,M,M
2012,2.2,1.01,4.64,M,4.59,2.58,4.81,5.44,2.85,2.58,0.93,1.69,M
2013,M,1.17,M,2.3,2.22,4.81,7.26,4.16,0.69,1.8,2.35,7.08,M
2014,3.66,4.6,M,3.72,4.15,4.66,4.87,3.13,0.73,4.03,5.66,2.59,M
2015,2.92,M,1.98,4.99,2.76,7.02,2.67,0.92,8.41,2.91,2.17,3.11,M
2016,M,M,1.13,1.36,5.9,8.04,4.86,3.07,2.47,2,1.16,3.03,M
2017,3.05,0.19,1.94,3.97,7.05,4.08,M,2.09,1.05,3.3,1.1,M,M
2018,M,3.96,1.28,3.33,6.55,M,3.91,6.82,6.67,3.22,4.42,4.88,M
2019,3.31,2.59,3.22,3.83,4.17,2.09,2.98,4.14,1.01,4.27,1.47,2.36,35.44
2020,3.43,2.31,1.51,5.87,3,2.58,3.12,7.9,3.17,3.3,2.98,3.37,42.54
2021,2.04,M,1.79,M,2.3,4,1.74,7.35,6.95,2.78,1.81,0.19,M
2022,2.71,2.43,1.85,3.42,4.72,5.45,3.82,2.25,2.31,1.8,5.28,2.49,38.53
2023,1.44,3.21,1.7,2.93,1.27,6.26,3.14,2.07,1.66,0.43,3.19,3.4,M
2024,6.85,2.34,3.26,2.89,8.11,1.36,0.98,8.23,7.97,1.44,M,M,M
